;Canasta
1/1/2018;245.3970781
1/2/2018;247.1846685
1/3/2018;242.8792665
1/4/2018;245.0147219
1/5/2018;253.0242265
1/6/2018;258.0340187
1/7/2018;253.1519917
1/8/2018;268.2721094
1/9/2018;260.8676057
1/10/2018;280.7213296
1/11/2018;279.8472013
1/12/2018;282.224324
1/1/2019;265.4934219
1/2/2019;264.3096843
1/3/2019;273.5497379
1/4/2019;276.0089436
1/5/2019;288.2057467
1/6/2019;274.6892586
1/7/2019;281.2580603
1/8/2019;294.7166381
1/9/2019;297.3945981
1/10/2019;292.041323
1/11/2019;306.4214028
1/12/2019;287.0729507
1/1/2020;276.1744401
1/2/2020;284.21502
1/3/2020;319.4607281
1/4/2020;312.1745087
1/5/2020;295.5980018
1/6/2020;299.6574446
1/7/2020;292.3289514
1/8/2020;294.6165798
1/9/2020;300.402985
1/10/2020;301.4583352
1/11/2020;284.8275581
1/12/2020;270.2735129
1/1/2021;296.9797603
1/2/2021;300.6922798
1/3/2021;301.1682501
1/4/2021;305.5065543
1/5/2021;303.9337686
1/6/2021;307.2451469
1/7/2021;317.1380458
1/8/2021;312.6836891
1/9/2021;319.0881181
1/10/2021;316.6596858
1/11/2021;332.1166513
1/12/2021;338.4327223
1/1/2022;350.6609599
1/2/2022;349.9942641
1/3/2022;337.8932266
1/4/2022;356.506992
1/5/2022;341.4161556
1/6/2022;375.6496506
1/7/2022;383.5832799
1/8/2022;393.3230493
1/9/2022;412.3055227
1/10/2022;432.0147714
1/11/2022;420.8899222
1/12/2022;419.3152935
1/1/2023;372.6347758
1/2/2023;387.2489511
1/3/2023;372.6960253
1/4/2023;377.2674718
1/5/2023;363.5498854
1/6/2023;347.0894686
1/7/2023;336.0428938
1/8/2023;352.7114984
1/9/2023;355.4357265
1/10/2023;358.5145975
1/11/2023;350.2952831
1/12/2023;373.8511007
1/1/2024;380.705724
1/2/2024;386.3164074
1/3/2024;384.4383971
1/4/2024;388.2603627
1/5/2024;382.1422211
1/6/2024;405.2342463
1/7/2024;399.5593232
1/8/2024;404.0196
